一下	一下 一下兒 一下子
一不	一不 一不小心 一不做
一乾	一乾 一乾二淨
一事	一事 一事無成
一佛	一佛 一佛出世
一個	一個 一個女婿半個兒 一個勁兒
一傳	一傳 一傳十
一剎	一剎 一剎那
一動	一動 一動不動
一勞	一勞 一勞永逸
一匹	一匹 一匹馬不走
一卡	一卡 一卡通
一口	一口 一口氣
一句	一句 一句話
一回	一回 一回生二回熟 一回事
一塊	一塊 一塊兒
一塌	一塌 一塌糊塗
一大	一大 一大早
一天	一天 一天到晚
一如	一如 一如既往
一字	一字 一字長蛇陣 一字為師
一家	一家 一家人
一寸	一寸 一寸光陰一寸金
一帆	一帆 一帆風順
一年	一年 一年到頭
一心	一心 一心不能二用 一心一意
一念	一念 一念之差
一應	一應 一應俱全
一成	一成 一成不變
一技	一技 一技之長
一把	一把 一把手
一擲	一擲 一擲千金
一攬	一攬 一攬子
一方	一方 一方面
一暴	一暴 一暴十寒
一會	一會 一會兒
一望	一望 一望無際
一木	一木 一木難支
一本	一本 一本萬利
一條	一條 一條魚腥了
一概	一概 一概而論
一模	一模 一模一樣
一次	一次 一次性
一步	一步 一步錯
一母	一母 一母之子有愚賢之分
一毛	一毛 一毛不拔
一無	一無 一無所有 一無所知
一男	一男 一男曰有
一盆	一盆 一盆如洗
一目	一目 一目了然
一瞬	一瞬 一瞬間
一竅	一竅 一竅不通
一笑	一笑 一笑了之 一笑了事
一筆	一筆 一筆購銷
一籌	一籌 一籌莫展
一絲	一絲 一絲不苟
一而	一而 一而再
一聲	一聲 一聲不吭
一肚	一肚 一肚子壞
一脈	一脈 一脈相傳
一舉	一舉 一舉一動 一舉兩得
一般	一般 一般來說
一落	一落 一落千丈
一藝	一藝 一藝精
一言	一言 一言一行 一言不發 一言既出
一計	一計 一計不成
一語	一語 一語雙關 一語破的
一諾	一諾 一諾千金
一路	一路 一路平安 一路順風 一路上
一輩	一輩 一輩子
一連	一連 一連串
一部	一部 一部分
一針	一針 一針見血
一鍋	一鍋 一鍋粥 一鍋湯
一長	一長 一長一短
一飢	一飢 一飢兩飽
一馬	一馬 一馬當先
一點	一點 一點兒 一點點
一鼓	一鼓 一鼓作氣
丁是	丁是 丁是丁
七嘴	七嘴 七嘴八舌
三人	三人 三人行
三分	三分 三分像人
三十	三十 三十六計
三天	三天 三天打魚兩天曬網
三寸	三寸 三寸不爛之舌
三思	三思 三思而後行
三明	三明 三明治
三溫	三溫 三溫暖
三番	三番 三番五次
三竿	三竿 三竿出兵
三長	三長 三長兩短
三面	三面 三面一詞
三頭	三頭 三頭六臂 三頭對案
上個	上個 上個月
上樑	上樑 上樑不正下樑歪
上知	上知 上知天文
上行	上行 上行下效
上進	上進 上進心
下個	下個 下個月
下功	下功 下功夫
下意	下意 下意識
下決	下決 下決心
不一	不一 不一會兒 不一定
不了	不了 不了了之
不倫	不倫 不倫不類
不假	不假 不假思索
不僅	不僅 不僅僅
不像	不像 不像話
不入	不入 不入虎穴
不共	不共 不共戴天
不分	不分 不分彼此
不刊	不刊 不刊之論
不勞	不勞 不勞而獲
不可	不可 不可思議
不哼	不哼 不哼不言
不在	不在 不在乎
不好	不好 不好意思
不學	不學 不學無術
不客	不客 不客氣
不屑	不屑 不屑一顧
不干	不干 不干不淨
不得	不得 不得不 不得了 不得已
不怎	不怎 不怎麼樣 不怎麼
不恥	不恥 不恥下問才能有學問
不打	不打 不打不成交 不打自招
不折	不折 不折不扣
不擇	不擇 不擇手段
不攻	不攻 不攻自破
不敢	不敢 不敢當
不甘	不甘 不甘落後
不由	不由 不由得
不痛	不痛 不痛不癢
不相	不相 不相上下
不知	不知 不知天高地厚 不知者不罪
不管	不管 不管不顧
不翼	不翼 不翼而飛
不耐	不耐 不耐煩
不聽	不聽 不聽老人言
不能	不能 不能不
不自	不自 不自量力 不自由
不至	不至 不至於
不要	不要 不要緊
不見	不見 不見棺材不落淚 不見得
不言	不言 不言而喻
不論	不論 不論不類
不識	不識 不識廬山真面目 不識一丁
不費	不費 不費吹灰之力
不速	不速 不速之客
不道	不道 不道邊際
不遺	不遺 不遺餘力
不飛	不飛 不飛則已
不養	不養 不養兒不知父母恩
世上	世上 世上無難事
世外	世外 世外桃源
世界	世界 世界盃 世界級 世界觀
